NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"Birmingham city, Alabama",Birmingham city, Alabama,2010,108537,86400.0,671.0,87228,21309,44824,42404,2.41,3691.0,3872.0,5443.0,11517.0,18783.0,14725.0,20893.0,12188.0,17425.0,108537.0
"Dothan city, Alabama",Dothan city, Alabama,2010,29249,133600.0,622.0,25840,3409,15142,10698,2.45,2162.0,1683.0,4288.0,3723.0,7928.0,3377.0,3040.0,1958.0,1090.0,29249.0
"Hoover city, Alabama",Hoover city, Alabama,2010,34160,260000.0,901.0,30280,3880,20130,10150,2.68,2963.0,3438.0,10126.0,6253.0,5766.0,3464.0,1808.0,128.0,214.0,34160.0
"Huntsville city, Alabama",Huntsville city, Alabama,2010,86495,159200.0,661.0,74841,11654,46809,28032,2.41,7217.0,5689.0,8984.0,14795.0,13529.0,21424.0,8446.0,3231.0,3180.0,86495.0
"Mobile city, Alabama",Mobile city, Alabama,2010,89745,133200.0,708.0,75328,14417,44130,31198,2.57,3124.0,2513.0,6998.0,10574.0,22379.0,14470.0,15797.0,6022.0,7868.0,89745.0
"Montgomery city, Alabama",Montgomery city, Alabama,2010,92241,126100.0,779.0,80035,12206,45703,34332,2.42,5633.0,6222.0,15013.0,12431.0,19569.0,11017.0,10889.0,4838.0,6629.0,92241.0
"Tuscaloosa city, Alabama",Tuscaloosa city, Alabama,2010,43391,165200.0,722.0,31827,11564,16495,15332,2.86,4123.0,7871.0,5978.0,5674.0,7045.0,4826.0,3349.0,2122.0,2403.0,43391.0
"Anchorage municipality, Alaska",Anchorage municipality, Alaska,2010,113111,282200.0,995.0,104993,8118,64018,40975,2.79,6878.0,9169.0,12908.0,29268.0,33246.0,12477.0,7445.0,1566.0,154.0,113111.0
"Avondale city, Arizona",Avondale city, Arizona,2010,24200,117600.0,1088.0,21262,2938,13890,7372,3.48,5340.0,7298.0,7269.0,882.0,1254.0,812.0,687.0,454.0,204.0,24200.0
"Chandler city, Arizona",Chandler city, Arizona,2010,93240,229200.0,961.0,83996,9244,56095,27901,2.9,6296.0,18372.0,32931.0,23639.0,7564.0,1627.0,2253.0,151.0,407.0,93240.0
"Flagstaff city, Arizona",Flagstaff city, Arizona,2010,24860,283700.0,1010.0,20985,3875,9266,11719,2.68,1292.0,3333.0,5785.0,6704.0,3831.0,1388.0,1713.0,365.0,449.0,24860.0
"Gilbert town, Arizona",Gilbert town, Arizona,2010,75120,229600.0,1163.0,68797,6323,49293,19504,3.04,13591.0,18130.0,31332.0,9345.0,1844.0,452.0,367.0,59.0,0.0,75120.0
"Glendale city, Arizona",Glendale city, Arizona,2010,86149,153900.0,834.0,76848,9301,42968,33880,2.92,3971.0,8756.0,21417.0,21999.0,19334.0,6069.0,3176.0,859.0,568.0,86149.0
"Goodyear city, Arizona",Goodyear city, Arizona,2010,25280,182100.0,1145.0,20850,4430,16014,4836,2.93,6027.0,10309.0,7406.0,244.0,579.0,325.0,166.0,224.0,0.0,25280.0
"Mesa city, Arizona",Mesa city, Arizona,2010,197039,154600.0,800.0,162691,34348,100527,62164,2.66,7723.0,26339.0,41271.0,52532.0,45866.0,14747.0,5937.0,1325.0,1299.0,197039.0
"Peoria city, Arizona",Peoria city, Arizona,2010,63884,181300.0,1021.0,55293,8591,37974,17319,2.84,9608.0,13384.0,20219.0,15087.0,4174.0,1166.0,111.0,135.0,0.0,63884.0
"Phoenix city, Arizona",Phoenix city, Arizona,2010,601370,158600.0,821.0,511432,89938,285182,226250,2.82,50230.0,62917.0,97235.0,113981.0,117154.0,65243.0,65562.0,17608.0,11440.0,601370.0
"San Tan Valley CDP, Arizona",San Tan Valley CDP, Arizona,2010,28081,130000.0,1094.0,21225,6856,18165,3060,3.41,,,,,,,,,,28081.0
